run_id,gate_id,model_id,base_commit,classification,universe_id,year,selection_date,cutoff_date,target_count,eligible_count_lower_bound,eligible_count_is_complete,evaluated_frontier_count,selected_count,shortfall_count,sector_count,top_sector_member_share,sector_member_hhi,composition_sha256
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_ADJUSTED_STATIC,2014,2014-04-01,2014-03-31,15,15,True,15,15,0,,,,9ae360d768689155d0d6b22f15e8ac0bab2e57c3ab9c3a3aabec182674b6117f
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_RAW_COMMON_PERIOD,2014,2014-04-01,2014-03-31,15,15,True,15,15,0,,,,9ae360d768689155d0d6b22f15e8ac0bab2e57c3ab9c3a3aabec182674b6117f
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U50_PIT_LITE,2014,2014-04-01,2014-03-31,50,104,False,115,50,0,19,0.16,0.08320000000000001,7f7d8ff040897397943ac4e4f4ec7ca9b9fadeba205f9945507ddb7a7d49d55e
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U100_PIT_LITE,2014,2014-04-01,2014-03-31,100,104,False,115,100,0,28,0.15,0.062,79f14186a063ea79298e83f43178aa27112cf469ba4dbc5cf53da881a6e8e7be
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_ADJUSTED_STATIC,2015,2015-04-01,2015-03-31,15,15,True,15,15,0,,,,9ae360d768689155d0d6b22f15e8ac0bab2e57c3ab9c3a3aabec182674b6117f
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_RAW_COMMON_PERIOD,2015,2015-04-01,2015-03-31,15,15,True,15,15,0,,,,9ae360d768689155d0d6b22f15e8ac0bab2e57c3ab9c3a3aabec182674b6117f
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U50_PIT_LITE,2015,2015-04-01,2015-03-31,50,105,False,112,50,0,18,0.16,0.0792,a5e160fd7cd6e7b3d9050e8cb3fed5ad128b1c08f72de55cd0ab4af4b6c775c3
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U100_PIT_LITE,2015,2015-04-01,2015-03-31,100,105,False,112,100,0,28,0.15,0.0624,e0d2b153368c8277c986bfae97abf85f535c1835c4850c5a750b9e28c0fa18bc
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_ADJUSTED_STATIC,2016,2016-04-01,2016-03-31,15,15,True,15,15,0,,,,9ae360d768689155d0d6b22f15e8ac0bab2e57c3ab9c3a3aabec182674b6117f
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_RAW_COMMON_PERIOD,2016,2016-04-01,2016-03-31,15,15,True,15,15,0,,,,9ae360d768689155d0d6b22f15e8ac0bab2e57c3ab9c3a3aabec182674b6117f
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U50_PIT_LITE,2016,2016-04-01,2016-03-31,50,100,False,104,50,0,20,0.16,0.076,030146248784a2c2b1c83e1386c4dd0256e2b95298819caadee807206fa4c223
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U100_PIT_LITE,2016,2016-04-01,2016-03-31,100,100,False,104,100,0,27,0.14,0.061200000000000004,3a2a5dfee0b0742213d98644f79f7d48115cdfd3b293b2db2948e2c7932eae41
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_ADJUSTED_STATIC,2017,2017-04-03,2017-03-31,15,15,True,15,15,0,,,,9ae360d768689155d0d6b22f15e8ac0bab2e57c3ab9c3a3aabec182674b6117f
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_RAW_COMMON_PERIOD,2017,2017-04-03,2017-03-31,15,15,True,15,15,0,,,,9ae360d768689155d0d6b22f15e8ac0bab2e57c3ab9c3a3aabec182674b6117f
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U50_PIT_LITE,2017,2017-04-03,2017-03-31,50,102,False,109,50,0,22,0.16,0.0712,a08c326954582d229b554b3aec94e05eaa0aaf8eed4297427e11503558f82cdc
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U100_PIT_LITE,2017,2017-04-03,2017-03-31,100,102,False,109,100,0,27,0.15,0.064,00bf2e06d9721dba46ae108f92a4c19c29a21ff3c46872bbfecede27bc425782
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_ADJUSTED_STATIC,2018,2018-04-02,2018-03-30,15,15,True,15,15,0,,,,9ae360d768689155d0d6b22f15e8ac0bab2e57c3ab9c3a3aabec182674b6117f
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_RAW_COMMON_PERIOD,2018,2018-04-02,2018-03-30,15,15,True,15,15,0,,,,9ae360d768689155d0d6b22f15e8ac0bab2e57c3ab9c3a3aabec182674b6117f
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U50_PIT_LITE,2018,2018-04-02,2018-03-30,50,105,False,109,50,0,22,0.16,0.0736,2769fd02bf4ee86200110f134587ea28a0b72b95af7b64b3cef0795b350c0b86
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U100_PIT_LITE,2018,2018-04-02,2018-03-30,100,105,False,109,100,0,27,0.15,0.0632,d33bdb1631fc569a747a52a52c3f3dc75c72dbd541cf886e08c4d5c4deb271cd
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_ADJUSTED_STATIC,2019,2019-04-01,2019-03-29,15,15,True,15,15,0,,,,9ae360d768689155d0d6b22f15e8ac0bab2e57c3ab9c3a3aabec182674b6117f
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_RAW_COMMON_PERIOD,2019,2019-04-01,2019-03-29,15,15,True,15,15,0,,,,9ae360d768689155d0d6b22f15e8ac0bab2e57c3ab9c3a3aabec182674b6117f
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U50_PIT_LITE,2019,2019-04-01,2019-03-29,50,107,False,110,50,0,20,0.16,0.0784,e48f7ff6321d4344cb89dcea2cfd87692e0bd39c8d0b4cc35dcb19064e79a3b5
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U100_PIT_LITE,2019,2019-04-01,2019-03-29,100,107,False,110,100,0,27,0.15,0.0656,006321760b8b1202649a074c9b99d4dc8faa86c77dde921fd2524e7d239de663
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_ADJUSTED_STATIC,2020,2020-04-01,2020-03-31,15,15,True,15,15,0,,,,9ae360d768689155d0d6b22f15e8ac0bab2e57c3ab9c3a3aabec182674b6117f
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_RAW_COMMON_PERIOD,2020,2020-04-01,2020-03-31,15,15,True,15,15,0,,,,9ae360d768689155d0d6b22f15e8ac0bab2e57c3ab9c3a3aabec182674b6117f
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U50_PIT_LITE,2020,2020-04-01,2020-03-31,50,109,False,111,50,0,21,0.16,0.07440000000000001,78eaf73c2cb147ce88ccf765904fbeb343715ef07991973c86e9a2c7a2f1ff33
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U100_PIT_LITE,2020,2020-04-01,2020-03-31,100,109,False,111,100,0,25,0.15,0.06620000000000001,f5f3015917200ac591474391178cb14e8912eb8c95b923846a8d31993e5cfbc5
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_ADJUSTED_STATIC,2021,2021-04-01,2021-03-31,15,15,True,15,15,0,,,,9ae360d768689155d0d6b22f15e8ac0bab2e57c3ab9c3a3aabec182674b6117f
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U15_RAW_COMMON_PERIOD,2021,2021-04-01,2021-03-31,15,15,True,15,15,0,,,,9ae360d768689155d0d6b22f15e8ac0bab2e57c3ab9c3a3aabec182674b6117f
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U50_PIT_LITE,2021,2021-04-01,2021-03-31,50,112,False,115,50,0,21,0.16,0.0696,446b09e09beb4f91fd7e57d5e4d86a0f2bc49f0d7f09d6d2dc44f8dc7560e246
v2-r2a-20260727-d3b8ed0-integrity1,V2-R2A_PIT_LITE_UNIVERSE_COMPARISON,TGS_STABLE_V2_PIT_LITE,d3b8ed0ec09d6d7fc70aeca5144f8bb6962c4073,PIT_LITE_EXPLORATORY_ONLY_NOT_FORMAL_CANDIDATE,U100_PIT_LITE,2021,2021-04-01,2021-03-31,100,112,False,115,100,0,27,0.15,0.064,3c49d823c5be63bd1da533653b49fd07b9b4ae26a5a233599d3e255f2bb4731a
