run_id,model_id,universe_id,base_commit,point_in_time_universe,survivorship_bias,classification,ticker,name,sector,signal_count,trade_count,closed_trade_count,open_trade_count,win_rate,average_win,average_loss,payoff_ratio,expectancy_per_trade,profit_factor,max_consecutive_losses,average_holding_sessions,median_holding_sessions,sum_net_returns
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,5801.T,"The Furukawa Electric Co., Ltd.",Nonferrous metals,129,36,36,0,0.4722222222,0.2039145859,-0.1022439597,1.9943924947,0.0423309090,1.7844564426,5,34.4444444444,29.5000000000,1.5239127255
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,5802.T,"Sumitomo Electric Industries, Ltd.",Nonferrous metals,215,48,48,0,0.5208333333,0.1500754812,-0.1007431404,1.4896843651,0.0298915583,1.6192221360,5,43.9791666667,59.5000000000,1.4347947997
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,5803.T,Fujikura Ltd.,Nonferrous metals,163,41,41,0,0.4390243902,0.2085618351,-0.1025441507,2.0338735425,0.0340389650,1.5917271202,4,31.7804878049,25.0000000000,1.3955975654
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,6273.T,SMC Corporation,Machinery,260,56,56,0,0.3928571429,0.1300569480,-0.0982451042,1.3238008053,-0.0085550122,0.8565769917,5,39.6250000000,48.0000000000,-0.4790806853
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,6301.T,Komatsu Ltd.,Machinery,177,41,41,0,0.6097560976,0.1460526591,-0.1024741723,1.4252631257,0.0490665786,2.2269736340,3,43.6829268293,60.0000000000,2.0117297210
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,6367.T,"Daikin Industries, Ltd.",Machinery,203,41,41,0,0.5609756098,0.1196820584,-0.0996295415,1.2012707938,0.0233989170,1.5349571254,4,47.7804878049,60.0000000000,0.9593555961
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,7011.T,"Mitsubishi Heavy Industries, Ltd.",Machinery,131,36,36,0,0.4444444444,0.1832072577,-0.0960724002,1.9069707567,0.0280518922,1.5255766053,3,34.5000000000,31.5000000000,1.0098681193
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,8001.T,Itochu Corp.,Trading companies,228,51,51,0,0.5490196078,0.1474931063,-0.0848742242,1.7377844407,0.0426999964,2.1155636669,4,46.2941176471,60.0000000000,2.1776998187
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,8002.T,Marubeni Corp.,Trading companies,180,45,45,0,0.4000000000,0.1693935306,-0.0877785426,1.9297829005,0.0150902867,1.2865219337,6,41.9777777778,51.0000000000,0.6790628997
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,8015.T,Toyota Tsusho Corp.,Trading companies,214,45,45,0,0.4000000000,0.1432506765,-0.0912676238,1.5695672839,0.0025396963,1.0463781893,11,41.1333333333,46.0000000000,0.1142863326
