run_id,model_id,universe_id,base_commit,point_in_time_universe,survivorship_bias,classification,year,signal_count,signal_cohort_trade_count,trade_metric_basis,portfolio_metric_basis,exposure_metric_basis,trade_count,closed_trade_count,open_trade_count,win_rate,average_win,average_loss,payoff_ratio,expectancy_per_trade,profit_factor,max_consecutive_losses,average_holding_sessions,median_holding_sessions,sum_net_returns,total_return,cagr,maximum_drawdown,calmar_ratio,market_exposure,maximum_concurrent_positions
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2004,34,9,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,1,1,0,0.0000000000,,-0.1026964036,,-0.1026964036,0.0000000000,1,22.0000000000,22.0000000000,-0.1026964036,0.0131095491,0.0797468609,-0.0303103069,2.6310146289,0.3775510204,8
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2005,186,38,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,40,40,0,0.7500000000,0.1896938607,-0.0892166175,2.1262166857,0.1199662412,6.3786500570,7,48.9750000000,60.0000000000,4.7986496467,0.3908160506,0.3911209146,-0.0665249257,5.8793138150,0.5901497696,13
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2006,199,42,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,39,39,0,0.4615384615,0.1626527078,-0.0917444808,1.7728882051,0.0256696063,1.5196184615,10,37.5384615385,46.0000000000,1.0011146449,0.0248470322,0.0249328953,-0.0834000892,0.2989552589,0.3782857143,12
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2007,219,37,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,44,44,0,0.4318181818,0.1860901569,-0.1013401660,1.8362922061,0.0227774735,1.3955820766,13,40.7727272727,46.5000000000,1.0022088326,0.0282648067,0.0283626430,-0.1024822138,0.2767567359,0.5104956268,13
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2008,75,19,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,21,21,0,0.2380952381,0.1875924807,-0.1022384623,1.8348523295,-0.0332310949,0.5733913530,9,31.2380952381,28.0000000000,-0.6978529933,-0.0378500709,-0.0375718488,-0.0557895177,-0.6734571361,0.1661807580,8
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2009,9,6,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,6,6,0,0.1666666667,0.2722233180,-0.1026964036,2.6507580450,-0.0402097833,0.5301516090,5,19.6666666667,6.5000000000,-0.2412587000,-0.0120620763,-0.0120700416,-0.0278656218,-0.4331517057,0.0348288076,4
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2010,18,8,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,6,6,0,0.1666666667,0.0855922994,-0.1140541890,0.7504529214,-0.0807797743,0.1500905843,5,35.1666666667,34.0000000000,-0.4846786458,-0.0110335966,-0.0110408865,-0.0413254923,-0.2671689038,0.0937683715,4
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2011,45,17,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,15,15,0,0.2000000000,0.1522642404,-0.1263280824,1.2053079375,-0.0706096178,0.3013269844,7,25.7333333333,17.0000000000,-1.0591442672,-0.0668617422,-0.0669046438,-0.0884853693,-0.7561096743,0.1102040816,6
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2012,93,22,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,24,24,0,0.4583333333,0.1295569571,-0.0996074582,1.3006752650,0.0054262321,1.1005713781,9,43.9583333333,57.5000000000,0.1302295715,0.0208595831,0.0209315265,-0.0846995489,0.2471267768,0.2897465438,7
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2013,152,44,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,37,37,0,0.4324324324,0.1903364970,-0.0943385402,2.0175900183,0.0287641786,1.5372114425,13,32.0540540541,27.0000000000,1.0642746082,0.0902293521,0.0897784200,-0.1132853765,0.7924978735,0.4291545190,13
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2014,209,43,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,45,45,0,0.4444444444,0.0836439062,-0.0873413038,0.9576672491,-0.0113478772,0.7661337993,10,45.0222222222,60.0000000000,-0.5106544724,-0.0686623938,-0.0687064077,-0.0950162617,-0.7231015664,0.5333723653,14
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2015,152,33,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,32,32,0,0.4687500000,0.1273443164,-0.0993581971,1.2816689532,0.0069086061,1.1308843705,8,44.8125000000,59.0000000000,0.2210753963,0.0095985924,0.0096050000,-0.0876304487,0.1096080208,0.4582598471,13
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2016,132,32,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,33,33,0,0.2727272727,0.1130238524,-0.1070575890,1.0557294771,-0.0470353777,0.3958985539,10,32.1515151515,28.0000000000,-1.5521674637,-0.0520589082,-0.0519540120,-0.1177291787,-0.4413010656,0.3126463700,9
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2017,102,32,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,29,29,0,0.5517241379,0.1405547799,-0.0540726514,2.5993691155,0.0533080004,3.1992235267,9,55.1379310345,60.0000000000,1.5459320111,0.0883920853,0.0887068123,-0.0467196818,1.8987032640,0.4661654135,11
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2018,122,28,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,38,38,0,0.2631578947,0.0737770869,-0.0958684544,0.7695658321,-0.0512248909,0.2748449400,7,40.3421052632,40.5000000000,-1.9465458541,-0.1280182118,-0.1284258543,-0.1601922319,-0.8016983892,0.3658892128,12
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2019,172,34,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,29,29,0,0.4482758621,0.0788390459,-0.0782271183,1.0078224477,-0.0078181482,0.8188557388,8,48.3448275862,60.0000000000,-0.2267262970,-0.0144696648,-0.0144008735,-0.0777106614,-0.1853139995,0.4499110848,10
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2020,77,21,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,23,23,0,0.3913043478,0.1286492821,-0.0923686665,1.3927805496,-0.0058833823,0.8953589248,12,43.7391304348,48.0000000000,-0.1353177922,0.0015636638,0.0015604250,-0.0702481797,0.0222130318,0.2848288076,9
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2021,126,27,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,22,22,0,0.5909090909,0.1081674389,-0.0965573754,1.1202400491,0.0244163785,1.6181245154,5,51.4090909091,60.0000000000,0.5371603277,0.0285189485,0.0285381638,-0.0631322662,0.4520376910,0.3688046647,8
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2022,163,35,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,36,36,0,0.6388888889,0.1119161327,-0.0980033016,1.1419628809,0.0361118925,2.0203958661,4,44.5277777778,60.0000000000,1.3000281302,0.0563979659,0.0564364738,-0.0637627370,0.8851011799,0.4546252927,11
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2023,168,37,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,39,39,0,0.6153846154,0.1474010232,-0.0793925683,1.8566098367,0.0601727188,2.9705757388,7,46.6410256410,60.0000000000,2.3467360327,0.1414174117,0.1419328796,-0.0623128563,2.2777463293,0.5293263647,13
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2024,170,37,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,34,34,0,0.6764705882,0.1797528403,-0.1178176846,1.5256864109,0.0834800234,3.1900715863,4,43.7352941176,58.5000000000,2.8383207972,0.1528408753,0.1520559297,-0.0543216799,2.7991757590,0.4603498542,13
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2025,168,41,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,40,40,0,0.5750000000,0.1802674894,-0.0898009828,2.0074110976,0.0654883887,2.7159091320,5,42.7750000000,56.5000000000,2.6195355489,0.1254858144,0.1255742135,-0.0460904553,2.7245166637,0.5305702528,11
0f6c05bff4831033,tgs_stable_v2_universe_lab,U15,43d5dd5aa6be3b0638b5af83976e61a214bd9c37,False,True,survivorship-biased exploratory evidence; not Formal Candidate,2026,65,22,exit_year,calendar_year_with_prior_close_anchor,calendar_year_sessions_only,31,31,0,0.4838709677,0.2362975536,-0.0943293510,2.5050268139,0.0656514093,2.3484626381,11,33.1935483871,46.0000000000,2.0351936882,0.0445224678,0.0802932142,-0.0614136795,1.3074157885,0.3571428571,9
