gate_id,model_id,base_commit,classification,source_run_id,universe_id,split,bitmask,bit_pattern,score,has_weekly_above_200ma,has_weekly_macd_gc,has_weekly_macd_uptrend,has_daily_rsi_40_65,has_daily_volume_1_5x,raw_signal_count,accepted_signal_cohort_count,contained_trade_count,cross_boundary_excluded_count,trade_count,closed_trade_count,open_trade_count,win_rate,average_win,average_loss,payoff_ratio,expectancy_per_trade,profit_factor,max_consecutive_losses,average_holding_sessions,median_holding_sessions,sum_net_returns,sample_status,stop_loss_exit_count,stop_gap_exit_count,take_profit_exit_count,take_profit_gap_exit_count,max_holding_exit_count,data_end_or_haircut_exit_count,other_exit_count,ticker_distinct_count,ticker_top_trade_share,ticker_trade_hhi,sector_distinct_count,sector_top_trade_share,sector_trade_hhi,ticker_top_loss_share,ticker_loss_hhi,sector_top_loss_share,sector_loss_hhi
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,15,01111,100,True,True,True,True,False,806,154,154,0,154,154,0,0.5194805194805194,0.12866622114253926,-0.09029031083354401,1.4250280008421248,0.0234533421410447,1.5405708117212158,8,43.85064935064935,60.0,3.611814689720884,SUFFICIENT,43,16,11,2,82,0,0,15,0.08441558441558442,0.07303086523865743,4,0.474025974025974,0.3372406813965255,0.12103353472836412,0.07973101130273638,0.4710881250412509,0.32170296534547826
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,23,10111,100,True,True,True,False,True,116,32,32,0,32,32,0,0.53125,0.12164534057127341,-0.10057465226357556,1.2095029695203716,0.01747971892993796,1.3707700321230878,4,38.875,44.5,0.5593510057580148,SUFFICIENT,11,2,5,0,14,0,0,13,0.125,0.087890625,4,0.34375,0.29296875,0.1361461710746859,0.09921577292984171,0.43541587191387676,0.3120930294372125
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,29,11101,90,True,False,True,True,True,785,174,174,0,174,174,0,0.47126436781609193,0.15620852341885938,-0.09253907400094503,1.688027734287293,0.024686805242870848,1.5045464588212827,12,44.00574712643678,57.5,4.295504112259527,SUFFICIENT,43,29,15,5,82,0,0,15,0.08045977011494253,0.06777645659928658,4,0.43103448275862066,0.30288016911084686,0.1004801493103083,0.07435936166610471,0.37870563388199696,0.30086862535894865
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,30,11110,90,False,True,True,True,True,30,19,19,0,19,19,0,0.631578947368421,0.11958522686706315,-0.07834216023383182,1.5264479114455236,0.04666461056673342,2.6167678481923264,2,47.0,60.0,0.886627600767935,INSUFFICIENT_SAMPLE,4,1,2,0,12,0,0,10,0.21052631578947367,0.11911357340720219,4,0.42105263157894735,0.32409972299168965,0.18758757381555158,0.17764429575140636,0.5621219179208758,0.3966770082369538
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,31,11111,120,True,True,True,True,True,60,23,23,0,23,23,0,0.43478260869565216,0.11263527573411543,-0.10181281477861126,1.1062976304018042,-0.008574514555686615,0.8509981772321571,6,41.26086956521739,47.0,-0.19721383478079213,INSUFFICIENT_SAMPLE,9,3,0,0,11,0,0,11,0.21739130434782608,0.11531190926275994,4,0.5652173913043478,0.387523629489603,0.27360891214993543,0.19496505384715304,0.5160901064311751,0.3984927160788799
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,development,15,01111,100,True,True,True,True,False,499,95,91,4,91,91,0,0.43956043956043955,0.1058823595196274,-0.089567577354053,1.1821505353559296,-0.0036555171897978936,0.927176890475239,8,44.604395604395606,60.0,-0.3326520642716083,SUFFICIENT,27,13,3,0,48,0,0,15,0.0989010989010989,0.07474942639777807,4,0.4945054945054945,0.3409008573843739,0.1301267448476356,0.07965402590921854,0.5053223579117464,0.33711051113185564
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,development,23,10111,100,True,True,True,False,True,62,14,14,0,14,14,0,0.35714285714285715,0.07969444193316684,-0.0977836172582528,0.8150081186165236,-0.03439859611846007,0.45278228812029087,4,38.285714285714285,48.0,-0.481580345658441,INSUFFICIENT_SAMPLE,6,1,0,0,7,0,0,12,0.14285714285714285,0.09183673469387757,4,0.42857142857142855,0.30612244897959184,0.13689995260201557,0.11387153695346412,0.39632608952424025,0.28947085552031554
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,development,29,11101,90,True,False,True,True,True,387,90,90,0,90,90,0,0.3888888888888889,0.11520602130877552,-0.09083611377916538,1.268284347664373,-0.010708616800521714,0.8070900394227828,12,45.388888888888886,60.0,-0.9637755120469542,SUFFICIENT,26,16,0,0,48,0,0,15,0.1111111111111111,0.07851851851851853,4,0.4666666666666667,0.3380246913580247,0.16433843148606425,0.08850038615917262,0.4316350238383196,0.3189761924167537
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,development,30,11110,90,False,True,True,True,True,23,15,15,0,15,15,0,0.6,0.1363686677571825,-0.07425383521278116,1.8365201927470227,0.052119666569197046,2.754780289120534,2,46.733333333333334,60.0,0.7817949985379556,INSUFFICIENT_SAMPLE,4,0,2,0,9,0,0,9,0.13333333333333333,0.12,4,0.4,0.3066666666666667,0.23050751812373865,0.21583664686807652,0.46101503624747703,0.3347988818585232
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,development,31,11111,120,True,True,True,True,True,26,10,9,1,9,9,0,0.2222222222222222,0.012192792921454143,-0.09987092048287152,0.12208551660986525,-0.07496787305968805,0.03488157617424721,6,36.0,34.0,-0.6747108575371924,INSUFFICIENT_SAMPLE,4,2,0,0,3,0,0,8,0.2222222222222222,0.13580246913580246,4,0.4444444444444444,0.30864197530864196,0.22421342537205904,0.17155118079630655,0.5245323287175598,0.40467093749093386
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,15,01111,100,True,True,True,True,False,202,38,30,8,30,30,0,0.6666666666666666,0.1439178258085483,-0.10276598597589293,1.4004422226076718,0.06168988854706791,2.800884445215343,2,44.1,60.0,1.8506966564120373,SUFFICIENT,9,1,3,1,16,0,0,13,0.13333333333333333,0.08888888888888888,4,0.5,0.34888888888888886,0.20054167634420042,0.18002744141462285,0.4996614522848745,0.37989202232857266
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,23,10111,100,True,True,True,False,True,30,9,9,0,9,9,0,0.5555555555555556,0.06633626729343098,-0.10269640359640353,0.6459453785171704,-0.008789364213162133,0.807431723146463,2,42.22222222222222,46.0,-0.0791042779184592,INSUFFICIENT_SAMPLE,4,0,1,0,4,0,0,6,0.2222222222222222,0.18518518518518517,3,0.4444444444444444,0.35802469135802467,0.2500000000000003,0.25,0.5000000000000002,0.3750000000000001
