ticker,code,name,sector,market_cap,market_cap_bucket
9202.T,9202,ANA Holdings Inc.,Air transport,1293584826368,Mid
9201.T,9201,"Japan Airlines Co., Ltd.",Air transport,1200078979072,Mid
543A.T,543A,Archion Corp.,Automotive,821461647360,Small
7267.T,7267,"Honda Motor Co., Ltd.",Automotive,5502162436096,Large
7202.T,7202,Isuzu Motors Ltd.,Automotive,1574116655104,Mid
7261.T,7261,Mazda Motor Corp.,Automotive,694173302784,Small
7211.T,7211,Mitsubishi Motors Corp.,Automotive,424659288064,Small
7201.T,7201,"Nissan Motor Co., Ltd.",Automotive,1109402058752,Small
7270.T,7270,Subaru Corp.,Automotive,1736701640704,Mid
7269.T,7269,Suzuki Motor Corp.,Automotive,3686842236928,Large
7203.T,7203,Toyota Motor Corp.,Automotive,32462245724160,Large
7272.T,7272,"Yamaha Motor Company , Ltd.",Automotive,1205209661440,Mid
8304.T,8304,"Aozora Bank , Ltd.",Banking,386152366080,Small
8331.T,8331,"The Chiba Bank , Ltd.",Banking,1749369749504,Mid
8354.T,8354,"Fukuoka Financial Group , Inc.",Banking,1341445898240,Mid
8306.T,8306,"Mitsubishi UFJ Financial Group , Inc.",Banking,37585816649728,Large
8411.T,8411,"Mizuho Financial Group , Inc.",Banking,19596274827264,Large
8308.T,8308,"Resona Holdings , Inc.",Banking,5013820145664,Large
5831.T,5831,Shizuoka Financial Group ( TYO : 5831 )(Holding company for Shizuoka Bank ),Banking,1608629354496,Mid
8316.T,8316,"Sumitomo Mitsui Financial Group , Inc.",Banking,25330746130432,Large
8309.T,8309,"Sumitomo Mitsui Trust Holdings , Inc.",Banking,4308675067904,Large
7186.T,7186,Yokohama Financial Group,Banking,1975651270656,Mid
3407.T,3407,Asahi Kasei Corp.,Chemicals,2465237827584,Mid
4061.T,4061,"Denka Co., Ltd.",Chemicals,390743293952,Small
4901.T,4901,Fujifilm Holdings Corp.,Chemicals,4022012215296,Large
4452.T,4452,Kao Corp.,Chemicals,2745135529984,Mid
3405.T,3405,"Kuraray Co., Ltd.",Chemicals,521244082176,Small
4188.T,4188,Mitsubishi Chemical Holdings Corp.,Chemicals,1493722988544,Mid
4183.T,4183,"Mitsui Chemicals , Inc.",Chemicals,777041477632,Small
4021.T,4021,"Nissan Chemical Industries , Ltd.",Chemicals,1118601478144,Small
6988.T,6988,Nitto Denko,Chemicals,2114985394176,Mid
4004.T,4004,Resonac Corp.,Chemicals,3497506635776,Large
4063.T,4063,"Shin-Etsu Chemical Co., Ltd.",Chemicals,13587723583488,Large
4911.T,4911,"Shiseido Co., Ltd.",Chemicals,1000844754944,Small
4005.T,4005,"Sumitomo Chemical Co., Ltd.",Chemicals,900680974336,Small
4043.T,4043,Tokuyama Corporation,Chemicals,376704860160,Small
